Kategori,Uraian
1. Pengeluaran Konsumsi Rumah Tangga (1.a. s/d 1.l.),
1.a. Makanan dan Minuman Non Beralkohol,"Belanja Bahan Pokok

Pengeluaran Pangan

Harga Beras/Daging/Telur

Konsumsi Rumah Tangga

Belanja di Pasar/Supermarket

Pembelian Sayur dan Buah

Minyak Goreng

Gula Pasir

Mie Instan

Air Minum Kemasan (AMDK)

Belanja Kopi/Teh/Susu

Makanan Olahan

Bumbu Masak

Roti dan Sereal

Ikan Segar/Olahan

Inflasi Pangan (Volatile Food)

Daya Beli Makanan

Pengeluaran Jajanan

Makan di Warung/Restoran

Stok Makanan Rumah

Keranjang Pangan

Anggaran Belanja Dapur

Permintaan Pangan

Belanja Harian/Bulanan

Makanan Siap Saji"
1.b. Minuman Beralkohol dan Rokok,"Belanja Rokok

Konsumsi Tembakau

Kenaikan Harga Rokok

Cukai Hasil Tembakau (CHT)

Pembelian Minuman Beralkohol

Bir/Anggur (Wine)

Pengeluaran untuk Hiburan

Vape/Rokok Elektrik

Cerutu

Tembakau Linting

Pembelian di Minimarket

Peraturan Minuman Beralkohol

Pengeluaran Non-Esensial

Pajak Rokok

Pengeluaran Kafe/Bar

Minuman Keras

Belanja Tembakau

Konsumsi per Kapita

Pembatasan Usia

Anggaran Rokok

Tembakau Iris

Minuman Tradisional Beralkohol

Import Minuman Alkohol

Pengeluaran Sosial

Harga Jual Eceran (HJE)"
1.c. Pakaian,"Belanja Pakaian/Baju

Pembelian Sepatu/Sandal

Pengeluaran Fesyen

Pakaian Jadi

Belanja Baju Lebaran

Pakaian Anak-anak

Aksesoris Fesyen (Tas, Jam)

Belanja Online (E-commerce)

Belanja di Mal/Departement Store

Diskon/Potongan Harga

Pakaian Bekas (Thrifting)

Kebutuhan Sandang

Pakaian Kerja

Alas Kaki

Merek Lokal/Internasional

Pengeluaran Gaya Hidup

Pembelian Tekstil/Kain

Pakaian Olahraga

Ongkos Jahit

Permintaan Pakaian

Belanja Impulsif

Tren Fesyen

Pakaian Dalam

Seragam

Jaket/Pakaian Luar"
"1.d. Perumahan, Air, Listrik, Gas dan Bahan Bakar Lainnya","Bayar Tagihan Listrik

Token Listrik (Prabayar)

Tagihan Air PDAM

Sewa Rumah/Kontrakan

Cicilan KPR

Pembelian Gas LPG

Biaya Lingkungan (Iuran Warga)

Pajak Bumi dan Bangunan (PBB)

Biaya Perawatan Rumah

Harga Properti

Tarif Dasar Listrik (TDL)

Jaringan Gas Rumah Tangga

Bahan Bakar Minyak (BBM)

Biaya Indekos

Iuran Pengelolaan Lingkungan (IPL) Apartemen

Retribusi Sampah

Subsidi Energi

Pengeluaran Utilitas

Biaya Renovasi Kecil

Kayu Bakar/Arang

Pembelian Rumah

Tagihan Telepon Rumah

Biaya Kebersihan

Pengeluaran Pokok

Sumber Penerangan"
"1.e. Perabot, Peralatan rumahtangga dan Pemeliharaan Rutin Rumah","Pembelian Furnitur

Peralatan Elektronik (TV, Kulkas)

Pembelian AC/Kipas Angin

Mesin Cuci

Alat Masak (Kompor, Panci)

Perlengkapan Makan/Minum

Tekstil Rumah Tangga (Sprei, Gorden)

Jasa Asisten Rumah Tangga (ART)

Jasa Laundry

Pembelian Cat Rumah

Perkakas

Barang Pecah Belah

Hiasan/Dekorasi Rumah

Produk Pembersih

Jasa Tukang/Reparasi

Pembelian Lemari

Peralatan Dapur

Lampu

Barang Habis Pakai

Perawatan Taman

Pembelian Kasur

Rak Penyimpanan

Jasa Sedot WC

Perbaikan Kecil

Peralatan Kebersihan"
1.f. Kesehatan,"Biaya Berobat

Pembelian Obat di Apotek

Iuran BPJS Kesehatan

Biaya Rawat Inap/Jalan

Konsultasi Dokter

Pembelian Kacamata

Vitamin dan Suplemen

Biaya Cek Laboratorium

Biaya Persalinan

Perawatan Gigi

Asuransi Kesehatan Swasta

Alat Kesehatan Pribadi

Pengeluaran Medis

Obat Herbal/Tradisional

Fisioterapi/Terapi

Medical Check-Up

Vaksinasi

Skincare/Perawatan Kulit

Biaya Psikiater/Psikolog

Produk P3K

Belanja Popok Lansia

Jasa Perawat Rumahan

Biaya Operasi

Alat Bantu Dengar

Tes Kehamilan"
1.g. Transportasi/Angkutan,"Pembelian Bensin (Pertalite/Pertamax)

Tarif Transportasi Online

Tiket Kereta Api/Bus

Pembayaran Jalan Tol

Biaya Parkir

Servis Rutin Kendaraan

Cicilan Mobil/Motor

Pembelian Kendaraan Baru/Bekas

Tiket Pesawat

Pajak Kendaraan Bermotor (PKB)

Ongkos Angkot/Transportasi Umum

Pembelian Suku Cadang

Ganti Oli

Ongkos Ojek

Asuransi Kendaraan

Biaya Uji KIR

Tambal Ban

Tarif Taksi

Biaya Perpanjangan SIM/STNK

Pembelian Ban

Ongkos Mudik

Biaya Transportasi Harian

Sewa Kendaraan

Tiket Kapal Feri

Biaya Derek"
1.h. Komunikasi,"Pembelian Pulsa

Paket Data Internet

Tagihan WiFi/Internet Rumah

Pembelian Ponsel/Smartphone

Langganan TV Kabel/Streaming

Pembelian Aksesoris HP

Biaya Perbaikan Gadget

Tagihan Telepon Pascabayar

Voucher Game Online

Pembelian Koran/Majalah

Biaya Kirim Paket (Pos/Kurir)

Pembelian Laptop/Komputer

Kartu Perdana

Pembelian Modem

Biaya Panggilan Telepon

Langganan Konten Digital

Top-up E-wallet

Biaya Peringatan (Alert) Perbankan

Belanja di Warnet

Pembelian Perangkat Lunak

Pembelian Perangkat Jaringan (Router)

Iuran Telepon

Biaya Komunikasi Kantor

Pengeluaran Digital

Pulsa Listrik (dilihat sbg komunikasi digital"
1.i. Rekreasi dan Budaya,"Tiket Nonton Bioskop

Biaya Liburan/Pariwisata

Tiket Masuk Tempat Wisata

Langganan Layanan Hiburan

Pembelian Buku

Tiket Konser/Pertunjukan Seni

Pengeluaran untuk Hobi

Pembelian Peralatan Olahraga

Pembelian Mainan Anak

Biaya Keanggotaan Klub/Gym

Perawatan Hewan Peliharaan

Pengeluaran untuk Pesta/Acara

Pembelian Alat Musik

Berlangganan Majalah

Jasa Fotografi/Videografi

Biaya Karaoke

Pembelian Tanaman Hias

Pengeluaran Kegiatan Outdoor

Biaya Masuk Museum/Galeri

Koleksi Barang Antik/Hobi

Pembelian Konsol Game

Sewa Lapangan Olahraga

Biaya Tamasya

Kunjungan Taman Hiburan

Belanja Barang Seni"
